eval_resume,generated_text,resume
"이력서에는 Node.js 및 JavaScript의 기본적인 이해가 언급되어 있지만, 실무 경험이 전무한 상태입니다. Express와 MongoDB에 대해 학습 경험이 있지만, 실제 프로젝트에 적용된 적이 없어 직무 적합성에 문제가 있습니다. Git 사용 경험이 개인 프로젝트에 국한되어 협업 경험이 부족하다는 점도 큰 감점 요인입니다. 자격 요건에서 결격 사유가 많아 총 15점을 부여했습니다.","이력서는 전반적으로 기본적인 기술 이해는 있으나 실무 경험이 부족하여 낮은 점수를 받았습니다. Node.js와 Express에 대한 학습 경험은 있으나, 실무 적용 경험이 없고, MongoDB와 Git에 대한 경험도 제한적입니다. 자격요건과 우대사항 모두에서 미흡하여 감점이 이루어졌습니다. ","**[이력서]**  
- 이름: 나무길  
- 생년월일 (만 24세)  
- 전화번호: 010-****-1234  
- 이메일: woodpath123@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- YY대학교 경영학과 (졸업)   

**경력 및 경험:**  
- 학부 시절 친구들과의 팀 프로젝트로 소규모 웹사이트 개발 경험 (Node.js 및 Express 기반 간단한 기능 구현)  
- 개인 취미로 간단한 게임 개발 프로젝트를 진행하였으나, Node.js 및 관련 기술을 직접적인 직무 경험으로 활용하지 않음   

**기술 및 역량:**  
- Node.js: 기본적인 이해는 있으나 실무 경험 부족  
- JavaScript: 초급 수준  
- Express: 학습 경험 있으나 실무 프로젝트 없음  
- MongoDB: 기본적인 데이터베이스 이해, 실습 경험 미비  
- Git: 개인 프로젝트에서 사용 경험 있으나 협업 경험 부족   

**기타:**  
- 자격증: 제과기능사, 바리스타 자격증 보유 (채용과 관련없는 자격증)  
- 대외활동: 대학 내 동아리 활동을 통해 리더십 경험은 있으나, 개발환경 관련 경험이 없음  
- 특별한 수상 이력 없음"
"이력서에서 나무사랑은 Python을 활용한 AI 모델 개발 및 LangChain 경험을 명시하며 요구사항의 대부분을 충족합니다. 그러나 RAG 모델 설계 및 FastAPI 활용 경험이 상대적으로 약하며, 특정 요구 사항을 충족하지 않음에 따라 점수가 낮아졌습니다. 경력 연수가 3년 미만으로 보이며 이전 인턴 경험이 다소 기본적인 내용으로 추가적인 실무 경험이 필요함을 알 수 있습니다.","이력서는 전반적으로 경력이 부족하고 요구되는 기술 요건을 충족하지 못하는 부분이 많습니다. LangChain 사용 경험은 있으나, RAG 모델 설계 및 구현 경험이 부족하며, FastAPI 활용 경험도 제한적입니다. PostgreSQL에 대한 이해도가 낮고, 클라우드 환경에서의 경험이 없어 우대사 항목에서도 미흡합니다. 전반적으로 이력서는 요구하는 포지션에 적합하지 않으며, 경력 요건을 충족하지 못해 감점이 큽니다. ","**[이력서]**  
- 이름: 나무사랑  
- 생년월일 (나이 만 30세)  
- 전화번호: 010-****-1234  
- 이메일: namusarang@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (졸업)

**경력 및 경험:**  
- **2021.01 – 2023.12: ABC 솔루션즈 - AI 개발자**  
  - LangChain을 활용한 간단한 언어 모델 프로토타입 개발 및 클라이언트 요구에 따른 커스터마이징 진행  
  - Python을 활용하여 다양한 AI 모델을 개발하고 최적화하는 프로젝트 참여  
  - PostgreSQL 데이터베이스 설계 및 간단한 쿼리 작성, 데이터 시각화 공동 작업 진행  
- **2019.03 – 2020.12: DEF 기술연구소 - 인턴**  
  - AI 모델 설계 및 성능 평가 실습, FastAPI를 사용한 간단한 API 개발 경험  

**기술 및 역량:**  
- Python 기반의 AI 모델 개발 경험  
- LangChain 및 유사 프레임워크에 대한 기초적인 이해  
- FastAPI를 활용한 API 개발 경험 (기본적인 수준)  
- PostgreSQL 데이터베이스에 대한 기초적인 이해  

**기타:**  
- Python 관련 자격증 (기초 수준)  
- 데이터 분석 관련 온라인 교육 이수 (이수증 보유)  
- Git을 활용한 개인 프로젝트 진행"
"정개발의 이력서는 포지션에 요구하는 기술과 경험이 잘 부합하며, 특히 C# 및 .NET Core를 활용한 경험과 SQL Server에 대한 기본적 이해가 강조되어 있습니다. 게임 개발 동아리에서의 팀 프로젝트 참여는 경험을 더해주며, RabbitMQ 및 Azure App Service와 같은 관련 툴에 대한 경험도 긍정적인 요소입니다. 자격요건을 충족하고, 우대사항에서도 RabbitMQ 사용 경험이 있어 높은 점수를 부여합니다.","정개발의 이력서는 백엔드 엔지니어 포지션에 적합한 경험과 기술을 잘 보여줍니다. 게임 개발 동아리에서의 경험은 C# 및.NET Core, SQL Server, RabbitMQ, Azure App Service 등 요구하는 기술을 직접 활용한 경험을 포함하고 있어 매우 긍정적입니다. 또한, 정보처리기사 자격증 취득과 해커톤 대회 참가 경험은 문제 해결 능력과 팀워크를 강조하며, 이력서에 잘 반영되었습니다. 다만, 경력이 짧고 우대사 항목에서 RabbitMQ와 Azure App Service 경험이 부족하다는 점은 감점 요소로 작용했습니다. ","**[이력서]**  
- 이름: 정개발  
- 생년월일 (나이 만 24세)  
- 전화번호: 010-****-1234  
- 이메일: devjang@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (졸업, 2023년 2월)  

**경력 및 경험:**  
- **2022년 5월 - 2023년 1월**: XX대학교 게임 개발 동아리  
  - 팀 프로젝트로 모바일 RPG 게임의 백엔드 서버 개발 참여  
  - C# 및 .NET Core를 이용하여 게임 서버 모듈 설계 및 구현  
  - SQL Server를 활용한 데이터베이스 설계 및 쿼리 작성  
  - GitHub에 프로젝트 결과물 업로드 및 팀원과의 지속적인 코드 리뷰 진행  

**기술 및 역량:**  
- C# 및 .NET Core: 기본 프로그래밍 경험 및 프로젝트 적용 경험 보유  
- SQL Server: 데이터베이스 쿼리 작성 및 관리 진행 경험  
- RabbitMQ: 동아리 프로젝트에서 메시징 시스템 통합 경험  
- Azure App Service: 기본적인 배포 및 서버 관리 경험  
- 컴퓨터공학 기본 지식: 알고리즘, 자료구조 이해  

**기타:**  
- **자격증**: 정보처리기사 (2023년 취득)  
- **대외활동**: 대학 해커톤 대회 참가 (2023년, 수상 경험 있음)  
- **프로그래밍 공모전**: 팀원으로 참가해 최우수상 수상 (2023년)  
- **개인 프로젝트**: 개인 블로그에 알고리즘 문제 풀이 관련 게시물 작성 및 공유"
"지원자는 신입으로서 OO대학교 컴퓨터공학과를 졸업하고, 대학 내 IT 동아리에서 프론트엔드 개발 팀원으로 활동한 경험이 있습니다. 이력서에서 React와 TypeScript에 대한 기초적인 이해가 언급되어 있으나, Emotion, Recoil, D3.js 관련 경험은 누락되어 우대사항에 미달합니다. JavaScript/ES6+, REST API 활용 및 Git 경험이 언급되어 있어 기본적인 기술력은 갖추고 있으나, 추가적인 경험과 자격 요건 충족 부분에서 다소 아쉬운 점이 있습니다.","이력서는 신입 포지션에 적합한 경험을 보여주고 있으며, React와 TypeScript에 대한 기본적인 이해와 사용 경험이 있습니다. 그러나 D3.js와 Emotion, Recoil에 대한 경험이 부족하여 우대사 항목에서 감점이 있었습니다. 경력이 짧고 관련 경험이 제한적이므로, 추가적인 경험이 필요합니다. ","**[이력서]**  
- 이름: 김컴퓨터  
- 생년월일: 1998년 5월 15일 (만 26세)  
- 전화번호: 010-****-1234  
- 이메일: kimcomputer@example.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (졸업)

**경력 및 경험:**  
- XX대학교 재학 중 2021년 6월부터 2022년 8월까지 대학 내 IT 동아리에서 프론트엔드 개발 팀원으로 활동  
  - React를 활용하여 학교 프로젝트 웹사이트를 개발, TypeScript로 코드 작성 및 유지보수 경험
  - Git을 사용하여 코드 관리 및 협업 경험  
  - REST API를 통해 백엔드와 데이터 통신 구현

**기술 및 역량:**  
- React와 TypeScript: 기초적인 이해 및 프로젝트 경험 보유  
- JavaScript/ES6+: 기본적인 활용 능력  
- Git: 협업 기능 및 버전 관리 경험  
- UI/UX 설계에 대한 관심과 기본적인 이해  

**기타:**  
- Emotion 및 Recoil 사용 경험은 없지만, CSS-in-JS 및 상태 관리에 대한 학습 의지 강함  
- 데이터 시각화 경험은 없음, 관련 기초 지식 보유  
- 학교 프로젝트 및 동아리 활동을 통해 프론트엔드 개발 툴과 기술을 적극적으로 연구하고 있음"
"지원자는 기계공학 전공을 가지고 있으나, AI 엔지니어 포지션에 요구되는 주요 기술인 Whisper 및 GPT 계열 모델 활용 경험이 부족하고, 데이터 스트림 처리 경험 또한 없는 상태입니다. 경력이 1년 이상 요구되는 포지션에 대해 인턴 경험도 1년 차에 해당하는 짧은 경로이므로, 업무 요구에 미치지 못합니다. 기술 이해도 면에서도 Python에 대한 기초만 존재하며, 실무 경험이 결여되어 있어 기능 수행에 있어서 어려움을 겪을 것으로 보입니다. 전반적으로 요구사항에 미치지 못해 점수를 낮게 부여하였습니다.","이력서는 전반적으로 요구하는 자격요건과 우대사항을 충족하지 못하고 있습니다. Python 프로그래밍 경험이 기초 수준에 그치고 있으며, Whisper 및 GPT 계열의 LLM 경험이 전혀 없어 큰 감점 요소입니다. 멀티모달 AI 모델 경험도 없고, 데이터 스트림 처리 기술에 대한 경험이 부족하여 전반적으로 낮은 점수를 받았습니다. 경력이 짧고 인턴 경험이 제한적이라는 점도 감점 요인으로 작용했습니다. ","**[이력서]**  
- 이름: 한아름  
- 생년월일 (나이 만 28세)  
- 전화번호: 010-****-1234  
- 이메일: sample456@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 기계공학과 (졸업)  

**경력 및 경험:**  
- 2022.03 - 2023.02 | ABC 테크놀로지 | 인턴  
  - 프로토타입 AI 시스템의 기본 음성 인식 기능 개발 프로젝트에 참여  
  - 간단한 데이터 정제 및 분석 작업 수행  
  - 팀원과 협력하여 기계학습을 통한 품질 개선 시도  

**기술 및 역량:**  
- Python 기본 프로그래밍 이해  
- Whisper 및 GPT 계열 모델에 대한 실무 경험 없음  
- 멀티모달 AI 환경 활용 경험 부족  
- 데이터 스트림 처리 기술 경험 부족  

**기타:**  
- 자격증: 컴퓨터 활용 능력 2급  
- 대외활동: 대학 동아리에서 전시회 참여 (기계공학 관련)  
- 수상 이력: 대학 재학 중 독서토론대회 준우승"
"정희망 지원자는 요구하는 포지션과 기술 기준에 적합합니다. 1년 이상의 Kotlin 및 Spring WebFlux 실무 경험을 보유하고 있으며, MongoDB, Kafka, GCP 등을 사용한 유의미한 프로젝트 경험이 있습니다. 또한, CI/CD 환경 구축 경험과 협업 툴에 대한 능숙함을 보여주어 우대사항 또한 충족합니다. 경력에 공백이 없으며, 직무 관련 경험이 연속적으로 이어져 있어 경력 요건을 충분히 만족합니다. 이력서 작성도 체계적이며 명확해 평가 점수 50점을 부여합니다.","정희망 님의 이력서는 요구하는 포지션과 기술에 매우 적합합니다. Kotlin, Spring WebFlux, MongoDB, Kafka, GCP 등 모든 자격요건을 충족하며, 인턴십 경험과 실제 프로젝트 경험을 통해 실무 능력을 입증하고 있습니다. 경력이 1년 이상이며, CI/CD 경험도 보유하고 있어 우대사항에서도 긍정적인 평가를 받을 수 있습니다. 다만, 경력이 1년으로 다소 짧은 점은 감점 요소로 작용할 수 있습니다. ","**[이력서]**  
- 이름: 정희망  
- 생년월일 (나이 만 28세)  
- 전화번호: 010-****-1234  
- 이메일: jeongheemand@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (졸업, 2018년)

**경력 및 경험:**  
- **(주)테크노랩** - 백엔드 엔지니어 (2019년 3월 ~ 2021년 5월)  
  - Kotlin을 활용한 모바일 백엔드 서비스 개발 및 유지보수  
  - Spring WebFlux를 적용하여 비동기 처리 시스템 설계 및 최적화  
  - MongoDB를 사용하여 효율적인 데이터 모델링 및 데이터베이스 운영  
  - Kafka를 활용한 데이터 스트리밍 및 메시징 시스템 구축  
  - GCP 환경에서의 서비스 배포 및 모니터링 경험  

- **(주)넥스트프레임** - 인턴십 (2018년 6월 ~ 2019년 2월)  
  - 클라우드 배포를 위한 CI/CD pipeline 환경 구축  
  - JIRA를 사용한 프로젝트 관리 및 업무 협업 지원  

**기술 및 역량:**  
- Kotlin (1년 6개월 이상 경력)  
- Spring WebFlux (실무 경험 1년 이상)  
- MongoDB (데이터베이스 설계 및 운영 경험)  
- Kafka (메시지 큐 시스템 구축 경험)  
- GCP (클라우드 인프라 운영 및 서비스 배포 경험)  
- CI/CD (Jenkins, GitLab CI 등 환경 구축 경험)  
- JIRA, Confluence (협업 툴 능숙)  

**기타:**  
- **자격증**: 정보처리기사 (2020년 취득)  
- **대외활동**: IT 해커톤 - 우수상 (2021년)  
- **주요 프로젝트**:  
  - 클라우드 기반의 실시간 데이터 처리 시스템 구축 프로젝트: 대규모 트래픽 처리 경험  
  - TDD를 적용한 E-commerce 플랫폼 백엔드 서비스 개발"
"이력서에서 김사회는 Java 기반의 개발 경력을 갖고 있으나, 포지션이 요구하는 .NET Core 경력은 부족합니다. SQL Server나 RabbitMQ에 대한 직접적인 경험도 확인되지 않으며, 경력이 해당하는 업종에서 3년 가량이 짧기 때문에 전반적인 경험이 부족합니다. 자격 요건을 만족할 수 있는 경력이 없고 우대사항 또한 충족하지 않아 점수가 낮습니다.","이력서는 경력과 기술 요건에서 미흡한 부분이 많습니다. C# 및.NET Core 개발 경험이 전혀 없고, SQL Server, RabbitMQ, Azure App Service와 같은 필수 기술 경험이 없습니다. 경력도 5년 미만으로 요구되는 5~8년 경력에 미치지 못하며, 관련 프로젝트 경험도 부족합니다. 따라서 이력서 점수는 15점으로 평가합니다. ","**[이력서]**  
- 이름: 김사회  
- 생년월일 (나이 만 35세)  
- 전화번호: 010-****-1234  
- 이메일: sample456@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- YY대학교 정보처리학과 (졸업)

**경력 및 경험:**  
- 2020.06 – 2023.12: AB정보기술(주)  
  - 백엔드 개발팀에서 주니어 개발자로 근무하며 Java 기반 웹 애플리케이션을 개발하였습니다.  
  - 데이터베이스 활용 경험으로 MySQL을 사용하여 데이터 쿼리 작성 및 간단한 모델링 수행.  
  - 사내 프로젝트에서 Git을 활용한 버전 관리 경험이 있으나, CI/CD 과정에 대한 실무 경험은 부족합니다.

**기술 및 역량:**  
- Java, MySQL  
- 기본적인 RESTful API 개발 경험  
- Git 버전 관리 도구 사용 가능  
- 기본적인 데이터베이스 디자인 및 쿼리 작성  

**기타:**  
- 정보기술 관련 수료증 다수  
- 대내외 비영리 단체에서 IT 관련 봉사활동 경력 보유"
"김철수 지원자는 이력서에서 프론트엔드 엔지니어로서 요구되는 기술, 즉 React Native, Git, Redux Toolkit에 대한 경험이 전혀 부족합니다. 교내 해커톤 참여 경험이 긍정적이지만, 실무 경험이 없는 점은 큰 단점입니다. 기술적 이해가 부족하여 지원 직무와의 적합성이 낮습니다. 자격 요건에서도 미흡하여 15점으로 평가합니다.","이력서는 전반적으로 요구하는 기술 요건을 충족하지 못하고 있습니다. React Native에 대한 이해가 부족하고, Git 활용 경험이 없는 점은 큰 감점 요소입니다. 또한, 경력이 전혀 없는 신입 지원자로서는 경험이 부족하다는 인상을 줍니다. 다만, HTML, CSS에 대한 기본적인 활용 능력은 긍정적입니다.","**[이력서]**  
- 이름: 김철수  
- 생년월일 (나이 만 23세)  
- 전화번호: 010-****-1234  
- 이메일: sample123@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- ZZ대학교 컴퓨터공학과 (졸업)

**경력 및 경험:**  
- 인턴십 경험 없음  
- 교내 해커톤 참여 (2022년) - 팀원으로 참여하여 간단한 웹페이지 제작 경험  
- 개인 프로젝트: HTML/CSS를 활용하여 간단한 포트폴리오 웹사이트 구현  

**기술 및 역량:**  
- React Native에 대한 이해도 부족  
- JavaScript 기초 지식 보유  
- HTML, CSS 기본적인 활용 가능  
- Git 활용 경험 없음  

**기타:**  
- 관련 자격증 없음  
- 핀테크 관련 경험 및 관심 없음"
"
이력서는 매우 강력하며 요구하는 포지션에 적합한 여러 기술을 보유하고 있습니다. React와 TypeScript를 활용한 웹 애플리케이션 개발 경험이 있으며, Emotion과 Recoil 라이브러리의 이해도가 높습니다. D3.js를 활용한 데이터 시각화 경험도 보유하고 있어, 실무에 잘 적응할 수 있을 것입니다. 그러나 경력이 신입 수준인 점과 학력 이외에 추가적인 경험이 없고, 경력이 없는 부분에서 감점이 발생하였습니다.
","이력서는 전반적으로 포지션에 적합한 경험과 기술을 잘 보여주고 있습니다. React와 TypeScript에 대한 경험이 있으며, Emotion과 D3.js를 활용한 프로젝트 경험도 있어 자격요건을 충족하고 있습니다. 그러나 경력이 부족한 점과 자격요건에서 일부 미비한 부분이 있어 감점이 있었습니다. 특히, D3.js 경험이 다소 제한적이며, 자격요건에서 요구하는 상태 관리 라이브러리(Recoil) 사용 경험이 명확하지 않아 감점되었습니다. ","**[이력서]**  
- 이름: 산들바람  
- 생년월일 (나이 만 24세)  
- 전화번호: 010-****-1234  
- 이메일: sample123@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (2024년 2월 졸업 예정)  

**경력 및 경험:**  
- XX대학교 웹 애플리케이션 개발 동아리 활동 (2022년 3월 - 2023년 12월)  
  - React와 TypeScript를 사용하여 대학 내 행사 관리 웹 애플리케이션 개발  
  - Emotion을 활용하여 사용자 친화적인 UI 디자인 및 CSS-in-JS 기법 적용  
  - Recoil 상태 관리 라이브러리를 도입하여 데이터 흐름을 효과적으로 설계  

**기술 및 역량:**  
- React: 기본적인 컴포넌트 구조 및 Hooks 사용 경험  
- TypeScript: 타입 정의 및 호환성 검증을 통한 오류 감소 경험  
- Emotion: CSS-in-JS를 통한 스타일링 적용 및 커스터마이징  
- D3.js: 간단한 차트 제작 및 데이터 시각화 경험  
- JavaScript: 비동기 프로그래밍 기반의 API 호출 및 데이터 처리  
- HTML/CSS: 기본적인 웹 페이지 구현 및 DOM 조작 경험  

**기타:**  
- Git: 기본적인 Git 명령어 사용으로 협업 프로젝트 참여  
- 대규모 코드베이스: 오픈소스 프로젝트에 기여하며 코드 관리 및 버전 컨트롤 경험  
- CMS 및 SEO 기초 지식 습득: 교내 세미나 참여 및 관련 자료 연구"
"이력서는 기본적인 학력과 동아리 활동을 포함하고 있으나, 프론트엔드 엔지니어에 요구되는 구체적인 기술 경험이나 프로젝트 경험이 부족합니다. React Native에 대한 경험이 없고, 자격요건에서 요구하는 JavaScript/TypeScript 활용 능력이 미비합니다. 또한, 개인 프로젝트는 배포까지 완료하지 않아 완결성이 떨어집니다. 이력서에서 관련 자격증이나 수상 경력이 전무해 경쟁력이 낮아 보입니다.","이력서는 기본적인 기술과 경험이 언급되어 있으나, 실무 경험이 부족하고 자격요건에서 요구하는 기술들에 대한 경험이 미흡합니다. 특히, React Native에 대한 이해가 부족하고, Git 사용 경험이 제한적입니다. 우대사항에서 요구하는 경험이 전혀 없어 감점이 있었습니다. 전반적으로 신입 포지션에 적합한 수준이지만, 더 많은 경험과 기술적 역량이 필요합니다. ","**[이력서]**  
- 이름: 김재호  
- 생년월일 (나이 만 24세)  
- 전화번호: 010-****-1234  
- 이메일: sample123@xxmail.com  

**학력:**  
- OO초등학교 졸업  
- OO중학교 졸업  
- OO고등학교 졸업  
- XX대학교 컴퓨터공학과 (졸업 예정, 2024년 2월)

**경력 및 경험:**  
- XYZ대학 프로그래밍 동아리 (2022년 3월 ~ 2023년 12월)  
  - React를 활용한 간단한 웹 애플리케이션 프로젝트 경험  
  - 동아리 활동에서 UX/UI 개선 관련 논의 및 아이디어 제안  

- 개인 프로젝트 (2023년 5월 ~ 2023년 8월)  
  - 모바일 앱 프로토타입을 Expo로 구현 시도했으나 배포까지 완료하지 않음  
  - Git을 통해 코드 관리 연습  
  
**기술 및 역량:**  
- React Native 기본 이해 (프로젝트 경험 없음)  
- JavaScript 기본 활용 가능 (TypeScript 경험 없음)  
- UI/UX에 관심 있으나 실무 경험 없음  
- Git을 기본적인 수준으로 사용 가능

**기타:**  
- 관련 자격증: 없음  
- 대외활동: 대학 내 프로그래밍 동아리 활동  
- 수상 이력: 없음  
- 교육 이수: 없음"
